DAS,D10SP,D20SP,D30SP,D60SP,year,doy,Date,
547,0.330884556,0.328081131,0.363055342,0.403448268,2014,15,15-Jan-2014,
552,0.309440213,0.31563703,0.357111038,0.401401827,2014,20,20-Jan-2014,
560,0.257140471,0.266298672,0.307740661,0.368473652,2014,28,28-Jan-2014,
571,0.244488288,0.253195228,0.291725113,0.340177338,2014,39,08-Feb-2014,
572,0.241226072,0.25136198,0.289667936,0.337654979,2014,40,09-Feb-2014,
574,0.236345973,0.247553909,0.287301924,0.336353323,2014,42,11-Feb-2014,
580,0.293233885,0.27393105,0.298639314,0.339003369,2014,48,17-Feb-2014,
585,0.279319973,0.271662922,0.300195318,0.340802226,2014,53,22-Feb-2014,
590,0.251417179,0.255836524,0.289792956,0.336811289,2014,58,27-Feb-2014,
604,0.337403573,0.326649125,0.35958368,0.392733035,2014,72,13-Mar-2014,
619,0.260654265,0.267176597,0.305142795,0.348382909,2014,87,28-Mar-2014,
625,0.331326681,0.326385471,0.362291296,0.391170096,2014,93,03-Apr-2014,
629,0.301169485,0.302544042,0.34091609,0.377869476,2014,97,07-Apr-2014,
631,0.325410851,0.324704151,0.364662781,0.400935308,2014,99,09-Apr-2014,
632,0.346318613,0.344265505,0.38356215,0.42095777,2014,100,10-Apr-2014,
633,0.331919298,0.330043666,0.369004856,0.405051291,2014,101,11-Apr-2014,
638,0.340145146,0.338811653,0.376497201,0.417213571,2014,106,16-Apr-2014,
643,0.317063959,0.32062465,0.357855132,0.396192281,2014,111,21-Apr-2014,
645,0.331710923,0.329519902,0.366184995,0.401144425,2014,113,23-Apr-2014,
647,0.331922509,0.329329403,0.364869439,0.400286426,2014,115,25-Apr-2014,
650,0.333552868,0.331530204,0.363175359,0.399267818,2014,118,28-Apr-2014,
652,0.323709559,0.323336812,0.358034525,0.392729654,2014,120,30-Apr-2014,
653,0.317883491,0.318455567,0.354145405,0.391314802,2014,121,01-May-2014,
657,0.301703922,0.306059762,0.340503645,0.382786036,2014,125,05-May-2014,
659,0.290162284,0.295683008,0.332934679,0.380899808,2014,127,07-May-2014,
660,0.301522381,0.299445358,0.335097688,0.381538711,2014,128,08-May-2014,
661,0.313418428,0.302513975,0.334572827,0.381681314,2014,129,09-May-2014,
664,0.294458164,0.29409588,0.328151613,0.371632491,2014,132,12-May-2014,
666,0.283381321,0.287740159,0.322804759,0.370002154,2014,134,14-May-2014,
667,0.283121209,0.287011993,0.320107283,0.366608236,2014,135,15-May-2014,
668,0.278232497,0.283446624,0.316783117,0.365034816,2014,136,16-May-2014,
671,0.273436339,0.276505179,0.311942056,0.360763913,2014,139,19-May-2014,
749,0.258615289,0.269936996,0.305325937,0.350459558,2014,217,05-Aug-2014,
752,0.251854804,0.269207716,0.305204474,0.349925704,2014,220,08-Aug-2014,
755,0.244170975,0.264606966,0.303613261,0.349430152,2014,223,11-Aug-2014,
759,0.24286257,0.260504385,0.300673132,0.348226132,2014,227,15-Aug-2014,
762,0.24462981,0.261627563,0.302138202,0.349868235,2014,230,18-Aug-2014,
763,0.242104271,0.261019592,0.301773102,0.348513507,2014,231,19-Aug-2014,
766,0.237273208,0.258933972,0.300316337,0.349409689,2014,234,22-Aug-2014,
773,0.226659512,0.251712266,0.2936911,0.346438549,2014,241,29-Aug-2014,
776,0.24721082,0.249986528,0.295949797,0.347409265,2014,244,01-Sep-2014,
778,0.320944472,0.301070461,0.313467861,0.348615034,2014,246,03-Sep-2014,
784,0.284125719,0.289776247,0.316516513,0.349378193,2014,252,09-Sep-2014,
787,0.266849715,0.284310296,0.315497092,0.347225341,2014,255,12-Sep-2014,
790,0.253060427,0.276263663,0.309937068,0.346525916,2014,258,15-Sep-2014,
794,0.238260884,0.267199736,0.304171392,0.345757765,2014,262,19-Sep-2014,
797,0.264941648,0.266187427,0.301539684,0.345726337,2014,265,22-Sep-2014,
801,0.326086465,0.317824714,0.328244672,0.348613937,2014,269,26-Sep-2014,
807,0.307667213,0.313494034,0.350355919,0.379200587,2014,275,02-Oct-2014,
812,0.286083841,0.30145218,0.337016829,0.372529609,2014,280,07-Oct-2014,
815,0.273524664,0.293553976,0.333516746,0.366006823,2014,283,10-Oct-2014,
820,0.244639057,0.273039597,0.310087359,0.348946615,2014,288,15-Oct-2014,
822,0.239350576,0.264195531,0.305694411,0.348659091,2014,290,17-Oct-2014,
826,0.229443831,0.249680309,0.293733927,0.340884907,2014,294,21-Oct-2014,
829,0.230682973,0.251567009,0.295370063,0.336938485,2014,297,24-Oct-2014,
836,0.234700235,0.248065118,0.285921669,0.329593185,2014,304,31-Oct-2014,
839,0.324423947,0.320006891,0.349575686,0.364403829,2014,307,03-Nov-2014,
841,0.33692839,0.337405905,0.369996251,0.400603404,2014,309,05-Nov-2014,
843,0.318834146,0.322579506,0.355937165,0.38936644,2014,311,07-Nov-2014,
849,0.320413119,0.317546684,0.348951026,0.380436883,2014,317,13-Nov-2014,
850,0.320997139,0.317459757,0.348907388,0.38116133,2014,318,14-Nov-2014,
853,0.2993044,0.302028752,0.335726198,0.368785638,2014,321,17-Nov-2014,
855,0.280155951,0.28574289,0.322813174,0.358542969,2014,323,19-Nov-2014,
856,0.276992437,0.288034746,0.326626186,0.360524913,2014,324,20-Nov-2014,
860,0.257791305,0.267797334,0.306242307,0.349897772,2014,328,24-Nov-2014,
863,0.338194913,0.335111313,0.366903961,0.399229746,2014,331,27-Nov-2014,
864,0.330527076,0.336288493,0.364731909,0.398183671,2014,332,28-Nov-2014,
